name,category,measurement-1,ingredient-1,measurement-2,ingredient-2,measurement-3,ingredient-3,measurement-4,ingredient-4,measurement-5,ingredient-5,measurement-6,ingredient-6,instructions,glass,glass-size
tea saronno,cocktail classics,6 oz,hot tea,1 1/2 oz,amaretto di saronno,1 oz,whipped cream,,,,,,,"pour hot tea into a stemmed glass, using a spoon in glass to prevent cracking. add amaretto di saronno but do not stir. top with chilled whipped cream.",stem glass,
the summer of love,vodka,2 oz,orange-flavored vodka,2 oz,rose water,1 oz,lillet blanc,1/4 oz,black raspberry liqueur,,,,,shake with ice and strain into chilled cocktail glass. add lemon twist.,cocktail glass,6 or more ounces
devil's soul,whiskies,1 1/2 oz,straight rye whiskey,1/2 oz,mezcal,1/2 oz,amaro,1/4 oz,aperol,1/4 oz,elderflower liqueur,,"orange twist, flamed",stir with ice and strain into cocktail glass. flame orange twist and add to glass.,cocktail glass,6 or more ounces
deshler,whiskies,1 1/2 oz,straight rye whiskey,1/2 oz,dubonnet rouge,1/4 oz,triple sec,2 oz,angostura bitters,,,,,stir with ice and strain into chilled champagne flute. add lemon twist.,champagne flute,6 to 8 ounces
t.n.t. no. 1,cocktail classics,1 1/2 oz,old thompson blended whiskey,1 1/2 oz,absinthe substitute,,,,,,,,,shake with ice and strain into cocktail glass.,cocktail glass,6 or more ounces
stupid cupid,vodka,2 oz,citrus-flavored vodka,1/2 oz,sloe gin,1 oz,simple syrup,1 oz,fresh lemon juice,,,,,shake with ice and strain into chilled cocktail glass. garnish with cherry.,cocktail glass,6 or more ounces
derby,whiskies,2 oz,bourbon whiskey,1/4 oz,benedictine,1 oz,angostura bitters,,lemon twist,,,,,stir with ice and strain into chilled cocktail glass. add lemon twist.,cocktail glass,6 or more ounces
stockholm 75,vodka,,"lemon wedge, superfine sugar",3/4 oz,citrus-flavored vodka,3/4 oz,simple syrup,3/4 oz,fresh lemon juice,3 oz,chilled champagne,,,"rim chilled cocktail glass with lemon and sugar. shake vodka, syrup, and lemon juice with ice. strain into glass. fill with champagne",cocktail glass,6 or more ounces
the delmarva cocktail,whiskies,2 oz,straight rye whiskey,1/2 oz,dry vermouth,1/2 oz,white creme de menthe,1/2 oz,fresh lemon juice,,,,,shake with ice and strain into chilled cocktail glass. garnish with mint.,cocktail glass,6 or more ounces
sputnik,vodka,1 1/4 oz,vodka,1 1/4 oz,peach schnapps,3 oz,fresh orange juice,3 oz,half-and-half,,,,,shake with ice until frothy and pour into red-wine glass. garnish with peach.,red-wine glass,12 to 24 ounces
gotham,brandy,1 oz,absinthe or pastis,3 oz,brandy,3 oz,peach bitters,,lemon twist,,,,,pour absinthe into chilled old-fashioned glass and swirl to coat. shake brandy and bitters with ice and strain into glass. add lemon twist.,old-fashioned glass,6 to 8 ounces
de la louisiane,whiskies,3/4 oz,straight rye whiskey,3/4 oz,sweet vermouth,3/4 oz,benedictine,3 oz,absinthe or pastis,3 oz,peychaud's bitters,,maraschino cherry,stir with ice and strain into chilled cocktail glass. garnish with cherry.,cocktail glass,6 or more ounces
the debonair,whiskies,2 1/2 oz,single-malt scotch whisky,1 oz,ginger liqueur,,lemon twist,,,,,,,stir and strain into chilled cocktail glass. add lemon twist.,cocktail glass,6 or more ounces
soviet,vodka,1 1/2 oz,vodka,1/2 oz,amontillado sherry,1/2 oz,dry vermouth,,lemon twist,,,,,shake with ice and strain into ice-filled old-fashioned glass. add lemon twist.,old-fashioned glass,6 to 8 ounces
daisy dueller,whiskies,2 oz,tennessee whiskey,3/4 oz,fresh lemon juice,3/4 oz,simple syrup,1/2 oz,triple sec,,,,orange and lemon wheels,shake first four ingredients with ice. strain into chilled highball glass. add ice and fill with soda. garnish with orange and lemon.,highball glass,7 to 10 ounces
sonic blaster,vodka,1/2 oz,vodka,1/2 oz,light rum,1/2 oz,creme de banana,1 oz,pineapple juice,1 oz,orange juice,1 oz,cranberry juice,shake and pour into ice-filled collins glass. garnish with orange and lime.,collins glass,14 to 16 ounces
creole lady,whiskies,1 1/2 oz,bourbon whiskey,1 1/2 oz,madeira,1 oz,grenadine,,maraschino cherry,,,,,stir with ice and strain into chilled cocktail glass. garnish with cherry.,cocktail glass,6 or more ounces
rum coooler,cocktail classics,1/2 tsp,powdered sugar,2 oz,carbonated water,1 oz,mr. boston rum,,ginger ale,,,,,"in collins glass, dissolve powdered sugar in carbonated water. stir. fill glass with ice and add rum. fill with carbonated water or ginger ale and stir again. insert a spiral of orange or lemon peel (or both) and dangle end over rim of glass.",collins glass,14 to 16 ounces
siberian sleighride,vodka,1 1/4 oz,vodka,3/4 oz,white creme de cacao,1/2 oz,white creme de menthe,3 oz,half-and-half,,,,,shake with ice and strain into chilled snifter. sprinkle with chocolate shavings.,brandy snifter,8 to 12 ounces
cotton club flip,whiskies,2 oz,vanilla-infused bourbon,1/2 oz,honey-currant syrup,3/4 oz,fresh lime juice,1 oz,egg white,2 oz,rhubarb bitters,,stick of cotton candy,shake first four ingredients without ice. add ice and shake again. strain into ice-filled old-fashioned glass. top with bitters. garnish with cotton candy.,old-fashioned glass,6 to 8 ounces
golden dawn,brandy,1 oz,apple brandy,1/2 oz,apricot-flavored brandy,1/2 oz,gin,1 oz,fresh orange juice,1 oz,grenadine,,,shake first four ingredients with ice and strain into ice-filled oldfashioned glass. add grenadine.,old-fashioned glass,6 to 8 ounces
sidecar,cocktail classics,1 oz,cognac,1 oz,triple sec,1/2 oz,fresh lemon juice,1 1/2 oz,vodka,1 oz,madeira,1/2 oz,fresh orange juice and orange wheel,shake with ice and strain into a chilled cocktail glass.,cocktail glass,6 or more ounces
shalom,vodka,1 1/2 oz,vodka,1 oz,madeira,1/2 oz,fresh orange juice and orange wheel,2 oz,bourbon whiskey,3/4 oz,white creme de cacao,1/2 oz,fresh lemon juice,shake with ice and strain into ice-filled old-fashioned glass. add orange wheel.,old-fashioned glass,6 to 8 ounces
commodore cocktail,whiskies,2 oz,bourbon whiskey,3/4 oz,white creme de cacao,1/2 oz,fresh lemon juice,1 oz,grenadine,,,,,shake with ice and strain into chilled champagne flute.,champagne flute,6 to 8 ounces
sea breeze,vodka,1 1/2 oz,vodka,4 oz,cranberry juice,1 oz,fresh grapefruit juice,,lime wedge,,,,,pour into ice-filled highball glass. garnish with lime.,highball glass,7 to 10 ounces
screwdriver,vodka,1 1/2 oz,vodka,5 oz,orange juice,,,,,,,,,pour into ice-filled highball glass. stir well.,highball glass,7 to 10 ounces
coffee old-fashioned,whiskies,2 oz,bourbon whiskey,3/4 oz,simple syrup,2 oz,angostura bitters,1 oz,cold brewed coffee,2 oz,soda water,,"orange wheel, maraschino cherry","pour bourbon, syrup, bitters, and coffee into ice-filled old-fashioned glass and stir. add soda water and stir again. garnish with orange and cherry.",old-fashioned glass,6 to 8 ounces
dry martini,cocktail classics,1 2/3 oz,mr. boston gin,1/3 oz,dry vermouth,,,,,,,,,serve with an olive.,,
salty dog,vodka,,"lemon wedge, coarse salt",1 1/2 oz,vodka,5 oz,grapefruit juice,,,,,,,rim highball glass with lemon and salt. fill with ice. add vodka and grapefruit juice and stir.,highball glass,7 to 10 ounces
dr. cook,cocktail classics,3/4 oz,mr. boston gin,1 oz,lemon juice,1 oz,maraschino,1 oz,egg white,,,,,shake with ice and strain into wine glass.,red-wine glass,12 to 24 ounces
dillatini cocktail,cocktail classics,1 1/2 oz,mr. boston gin,3/4 oz,dry vermouth,,,,,,,,,serve with a dilly bean.,,
chi-town flip,whiskies,2 oz,bourbon whiskey,3/4 oz,tawny port,3/4 oz,fresh lemon juice,3/4 oz,vanilla liqueur and 3 oz,1/4 oz,simple syrup,1 oz,whole egg and grated nutmet,shake first six ingredients without ice. add ice and shake again. strain into ice-filled collins glass. add bitters and top with nutmeg.,collins glass,14 to 16 ounces
chef's pain,vodka,2 oz,bourbon whiskey,3/4 oz,fresh lime juice,1/2 oz,blackberry liqueur,1/2 oz,b & b,,,,,shake with ice and strain into chilled cocktail glass.,cocktail glass,6 or more ounces
sampan shipwreck a,vodka,1 1/2 oz,vodka,1/2 oz,orange liqueur,1/2 oz,canned coconut milk,1/2 oz,cold brewed chai tea,1/2 oz,orgeat or almond syrup,,pineapple wedge,shake well with ice. double-strain into chilled cocktail glass. perch pineapple on rim of glass.,cocktail glass,6 or more ounces
chas,whiskies,1 1/2 oz,bourbon whiskey,1/4 oz,amaretto,1/4 oz,benedictine,1/4 oz,triple sec,1/4 oz,orange curacao,,orange twist,stir with ice and strain into chilled cocktail glass. add orange twist.,cocktail glass,6 or more ounces
goat's delight,brandy,1 oz,brandy,1 1/2 oz,kirschwasser,1/4 oz,half-and-half,1 oz,orgeat or almond syrup,1 oz,absinthe or pastis,,,shake with ice and strain into chilled cocktail glass.,cocktail glass,6 or more ounces
russian bear cocktail,vodka,1 oz,vodka,1/2 oz,white creme de cacao,1/2 oz,half-and-half,,,,,,,stir with ice and strain into chilled cocktail glass.,cocktail glass,6 or more ounces
character development,whiskies,2 oz,scotch whiskey,1/2 oz,coconut liqueur,1/2 oz,dry sherry,2 oz,grapefruit bitters,,,,,stir with ice and strain into chilled cocktail glass. add grapefruit twist.,cocktail glass,6 or more ounces
ruby red,vodka,2 oz,grapefruit-flavored vodka,1 1/2 oz,triple sec,1 1/2 oz,fresh ruby red grapefruit juice,1 oz,fresh orange juice,,,,,shake with ice and strain into chilled cocktail glass. add grapefruit twist.,cocktail glass,6 or more ounces
chaplin,whiskies,3/4 oz,bourbon whiskey,3/4 oz,dry sherry,3/4 oz,ramazzotti amaro,1 oz,triple sec,2 oz,orange bitters,,lemon twist,stir with ice and strain into chilled cocktail glass. add lemon twist.,cocktail glass,6 or more ounces
rouxby red,vodka,,"for glass lemon wedge, coarse salt",1 1/2 oz,grapefruit-flavored vodka,1/4 oz,fresh lemon juice,3/4 oz,grapefruit juice,1/2 oz,campari,1/2 oz,simple syrup,rim chilled cocktail glass with lemon and salt. shake remaining ingredients with ice and strain into glass.,cocktail glass,6 or more ounces
rosemary clementine sparkle,vodka,1/4 oz,clementine or mandarin orange,1 1/2 oz,vodka,3/4 oz,fresh lemon juice,3/4 oz,honey syrup,1 oz,fresh rosemary sprig,1 oz,chilled sparkling wine or champagne,"squeeze clementine into mixing glass. twist rind and add to glass. add vodka, lemon juice, syrup, and rosemary sprig. add ice and shake. strain into chilled cocktail glass. top with sparkling wine or champagne. garnish with remaining rosemary sprig.",cocktail glass,6 or more ounces
chapel hill,whiskies,2 oz,bourbon whiskey,1/2 oz,triple sec,1/2 oz,fresh lemon juice,,orange twist,,,,,shake with ice and strain into chilled cocktail glass. add orange twist.,cocktail glass,6 or more ounces
robin's nest,vodka,1 oz,vodka,1 oz,cranberry juice,1/2 oz,white creme de cacao,,,,,,,shake with ice and strain into chilled cocktail glass.,cocktail glass,6 or more ounces
chancellor cocktail,whiskies,1 1/2 oz,blended scotch whiskey,1/2 oz,dry vermouth,1/2 oz,tawny port,1 oz,peychaud's bitters,,,,,stir with ice and strain into chilled cocktail glass. add lemon twist.,cocktail glass,6 or more ounces
cafe di saronno,cocktail classics,1 oz,amaretto di saronno,,hot black coffee,,,,,,,,,add 1 oz. amaretto di saronno to a cup of black coffee. top with whipped cream.,mug,
carre reprise,whiskies,1 oz,straight rye whiskey,1 oz,cognac,1 oz,sweet vermouth,1/2 oz,elderflower liqueur,1 oz,angostura bitters,1 oz,peychaud's bitters,stir with ice. strain into ice-filled old-fashioned glass. add lemon twist.,old-fashioned glass,6 to 8 ounces
gilroy cocktail,brandy,3/4 oz,cherry-flavored brandy,3/4 oz,gin,1/2 oz,dry vermouth,1/2 oz,fresh lemon juice,1 oz,orange bitters,,,shake with ice and strain into chilled cocktail glass.,cocktail glass,6 or more ounces
redhead martini,vodka,4 oz,"strawberries, cut into halves",3/4 oz,fresh lemon juice,3/4 oz,simple syrup,1 1/2 oz,citrus-flavored vodka,1 oz,chilled moscato d'asti or sweet sparkling wine,,strawberry,muddle halved strawberries in mixing glass with lemon juice and syrup. add vodka and ice and shake well. strain into chilled cocktail glass. add sparkling wine. garnish with the strawberry.,cocktail glass,6 or more ounces
red apple,vodka,1 1/2 oz,vodka,1 oz,apple juice,1/2 oz,fresh lemon juice,1 oz,grenadine,,,,,shake with ice and strain into chilled cocktail glass.,cocktail glass,6 or more ounces
canal street daisy,whiskies,1 oz,blended scotch whiskey,1 oz,orange juice,3/4 oz,fresh lemon juice,1 oz,soda water,1 oz,orange wheel,,,add scotch and juices to ice-filled collins glass and stir. fill with soda water and stir again. garnish with orange.,collins glass,14 to 16 ounces
canadian cocktail,whiskies,1 1/2 oz,canadian whisky,1/2 oz,triple sec,1/2 oz,simple syrup,1 oz,angostura bitters,,,,,shake with ice and strain into chilled cocktail glass.,cocktail glass,6 or more ounces
purple ruby,vodka,1 1/2 oz,vodka,1 1/2 oz,pomegranate juice,1/2 oz,grapefruit juice,1/4 oz,fresh lime juice,1/4 oz,honey syrup,,grapefruit twist,shake with ice and strain into chilled cocktail glass. add grapefruit twist.,cocktail glass,6 or more ounces
canadian cherry,whiskies,1 oz,maraschino liqueur,1 1/2 oz,canadian whisky,1/2 oz,maraschino liqueur,1/2 oz,fresh lemon juice,1/2 oz,orange juice,,,moisten rim of old-fashioned glass with maraschino liqueur. fill with ice. shake ingredients with ice and strain into glass.,old-fashioned glass,6 to 8 ounces
orange smile,cocktail classics,1 oz,egg,1 oz,juice of orange,1 oz,grenadine,,,,,,,shake with ice and strain into stem goblet.,red-wine glass,12 to 24 ounces
purple passion iced tea,vodka,1/2 oz,vodka,1/2 oz,light rum,1/2 oz,gin,1/2 oz,black raspberry liqueur,1/2 oz,simple syrup,3/4 oz,fresh lemon juice and 3 oz,pour ingredients into ice-filled highball glass in order listed and stir. add lemon twist.,highball glass,7 to 10 ounces
canadian breeze,whiskies,1 1/2 oz,canadian whisky,3/4 oz,pineapple juice,1/2 oz,fresh lemon juice,1/4 oz,maraschino liqueur,1 oz,"pineapple wedge, maraschino cherry",,,shake with ice. strain into ice-filled old-fashioned glass. garnish with pineapple and cherry.,old-fashioned glass,6 to 8 ounces
purple passion,vodka,1 1/2 oz,vodka,2 oz,grapefruit juice,2 oz,concord grape juice,1/2 oz,simple syrup,,,,,shake with ice. pour with ice into collins glass.,collins glass,14 to 16 ounces
cameron's kick cocktail,whiskies,3/4 oz,blended scotch whiskey,3/4 oz,irish whiskey,1/2 oz,fresh lemon juice,2 oz,orange bitters,,,,,shake with ice and strain into chilled cocktail glass.,cocktail glass,6 or more ounces
georgia mint julep,brandy,2 oz,mint sprigs,1/4 oz,simple syrup,1 1/2 oz,brandy,1 oz,peach-flavored brandy,,,,,muddle mint and syrup in collins glass. fill with ice. add brandy and peach-flavored brandy. stir and garnish with additional mint.,collins glass,14 to 16 ounces
california lemonade,whiskies,2 oz,bourbon whiskey,1 oz,fresh lemon juice,1 oz,fresh lime juice,1 oz,simple syrup,1/4 oz,grenadine,1 oz,"soda water, orange and lemon wheels, maraschino cherry","shake first five ingredients with ice. strain into shaved ice-filled collins glass. fill with soda water and garnish with orange, lemon, and cherry. serve with straws.",collins glass,14 to 16 ounces
boston side car,cocktail classics,3/4 oz,mr. boston five star brandy,3/4 oz,mr. boston rum,3/4 oz,mr. boston triple sec,1/2 oz,juice of a lime,,,,,shake with ice and strain into cocktail glass.,cocktail glass,6 or more ounces
cablegram,whiskies,2 oz,bourbon whiskey,1 oz,fresh lemon juice,1/2 oz,simple syrup,1 oz,ginger ale,,,,,stir first three ingredients in ice-filled highball glass. fill with ginger ale.,highball glass,7 to 10 ounces
bull and bear,whiskies,1 1/2 oz,bourbon whiskey,3/4 oz,orange curacao,1 oz,fresh lemon juice,1/4 oz,grenadine,,,,,shake with ice and strain into chilled cocktail glass. garnish with cherry and orange.,cocktail glass,6 or more ounces
brooklyn,whiskies,1 1/2 oz,rye or bourbon whiskey,1/2 oz,sweet vermouth,1 oz,amer picon or torani amer,1 oz,maraschino liqueur,,,,,stir with ice and strain into chilled cocktail glass.,cocktail glass,6 or more ounces
brighton punch,whiskies,3/4 oz,bourbon whiskey,3/4 oz,brandy,3/4 oz,benedictine,2 oz,orange juice,1 oz,fresh lemon juice,,"soda water, orange and lemon wheels",shake first five ingredients with ice and pour with ice into collins glass. fill with soda water and stir gently. garnish with orange and lemon and serve with a straw.,collins glass,14 to 16 ounces
bourbon renewal,whiskies,2 oz,bourbon whiskey,1 oz,fresh lemon juice,1/2 oz,creme de cassis,1/2 oz,simple syrup,1 oz,angostura bitters,,,shake with ice. strain into ice-filled old-fashioned glass.,old-fashioned glass,6 to 8 ounces
bourbon highball,whiskies,2 oz,bourbon whiskey,,ginger ale or soda water,,lemon twist,,,,,,,pour whiskey into ice-filled highball glass. fill with ginger ale or soda water and stir. add lemon twist.,highball glass,7 to 10 ounces
bourbon and elder,whiskies,2 oz,bourbon whiskey,3/4 oz,elderflower liqueur,1 oz,angostura bitters,,lemon twist,,,,,stir with ice and strain into chilled old-fashioned glass. add lemon twist.,old-fashioned glass,6 to 8 ounces
bourbon crusta,whiskies,,"lemon wedge, superfine sugar,  long, wide spiral of orange zest",2 oz,bourbon whiskey,1/2 oz,triple sec,1 oz,maraschino liqueur,1 oz,fresh lemon juice,2 oz,orange bitters,rim chilled cocktail glass with lemon and sugar. curl the zest spiral in glass. stir remaining ingredients with ice and strain into glass.,cocktail glass,6 or more ounces
bourbon cooler,whiskies,2 1/2 oz,bourbon whiskey,1/2 oz,fresh lemon juice,1/2 oz,grapefruit juice,1/2 oz,orgeat syrup,,,,,shake with ice in mixing glass. pour with ice into old-fashioned glass. garnish with peach.,old-fashioned glass,6 to 8 ounces
froupe cocktail,brandy,1 1/2 oz,brandy,1 1/2 oz,sweet vermouth,1 oz,benedictine,,,,,,,stir with ice and strain into chilled cocktail glass.,cocktail glass,6 or more ounces
bourbon a la creme,whiskies,2 oz,bourbon whiskey,1 oz,dark creme de cacao,1/2 oz,vanilla liqueur,,,,,,,stir ingredients with ice. strain into chilled old-fashioned glass.,old-fashioned glass,6 to 8 ounces
the bone,whiskies,2 oz,bourbon whiskey,1/2 oz,fresh lime juice,1/2 oz,simple syrup,3 oz,hot red pepper sauce,,,,,shake with ice and strain into chilled shot glass.,shot glass,1 _ to 2 ounces
bobby burns cocktail,whiskies,1 1/2 oz,blended scotch whiskey,1 1/2 oz,sweet vermouth,1 oz,benedictine,,lemon twist,,,,,stir with ice and strain into chilled cocktail glass. add lemon twist.,cocktail glass,6 or more ounces
bloody scotsman,whiskies,24 oz,"smoky scotch whisky, such as laphroaig",24 oz,tomato juice,24 oz,v8 cocktail juice,1c,ketchup,3 oz,fresh lime juice,3 oz,"simple syrup, 3/4 oz","mix ingredients together, stirring often, in a large container, adding salt to taste. chill for at least 24 hours before serving. serve in icefilled old-fashioned glasses.",old-fashioned glass,6 to 8 ounces
white cargo cocktail,cocktail classics,1 oz,vanilla ice cream,1 oz,mr. boston gin,,,,,,,,,shake until thoroughly mixed and add water or sauterne if the mixture if too thick. serve in an old-fashioned glass.,old-fashioned glass,6 to 8 ounces
blood and sand,whiskies,1/2 oz,blended scotch whiskey,1/2 oz,cherry-flavored brandy,1/2 oz,sweet vermouth,1/2 oz,orange juice,,,,,shake with ice and strain into chilled cocktail glass.,cocktail glass,6 or more ounces
the blinker,whiskies,2 oz,straight rye whisky,1 1/2 oz,grapefruit juice,1 oz,raspberry syrup,,grapefruit twist or skewered raspberry,,,,,shake and strain into cocktail glass. garnish with grapefruit twist or raspberry.,cocktail glass,6 or more ounces
pike's peak cooler,cocktail classics,,cider,1/2 oz,juice of a lemon,1 oz,powdered sugar,1 oz,whole egg,,,,,shake with ice and strain into collins glass with cracked ice. fill with cider and stir. insert a spiral of orange or lemon peel (or both) and dangle over rim of glass.,collins glass,14 to 16 ounces
blarney stone cocktail,whiskies,2 oz,irish whiskey,1/2 oz,anisette,1/2 oz,triple sec,1/2 oz,maraschino liqueur,1 oz,angostura bitters,1 oz,"orange twist, green olive",shake with ice and strain into chilled cocktail glass. add orange twist and olive.,cocktail glass,6 or more ounces
pacman,cocktail classics,2 oz,lemon juice,1 oz,grenadine,1 oz,bitters,,ginger ale,,,,,"add grenadine, lemon juice, and bitters to collins filled with ice. top  with wedge of lime. with ginger ale. notch an orange slice and slide down side of glass.",collins glass,14 to 16 ounces
lemonade (golden),cocktail classics,1 oz,juice of a lemon,2 oz,powdered sugar,1 oz,egg yolk,6 oz,water,,,,,"shake with ice and strain into collins glass. decorate with slices of orange and lemon, and a cherry.",collins glass,14 to 16 ounces
black hawk,whiskies,1 1/2 oz,bourbon whiskey,1 1/2 oz,sloe gin,1 oz,maraschino cherry,,,,,,,stir with ice and strain into chilled cocktail glass. garnish with cherry.,cocktail glass,6 or more ounces
lemonade (egg),cocktail classics,1 oz,juice of a lemon,2 oz,powdered sugar,1 oz,whole egg,,,,,,,shake and strain into collins glass over ice cubes. add enough water to fill glass. serve with straws.,collins glass,14 to 16 ounces
bensonhurst,whiskies,1 oz,cynar,2 oz,straight rye whiskey,1 oz,dry vermouth,1/4 oz,maraschino liqueur,,,,,swirl cynar in chilled cocktail glass to coat inside; discard excess cynar. stir remaining ingredients with ice and strain into glass.,cocktail glass,6 or more ounces
chocolate daisy,cocktail classics,1/2 oz,juice of a lemon,1/2 oz,powdered sugar,1 oz,grenadine,1 1/2 oz,brandy,1 1/2 oz,port,,,shake with ice and strain into stein or metal cup. add ice cubes and decorate with fruit,stein,
the beautiful day,whiskies,1 1/4 oz,irish whiskey,3/4 oz,rhubarb syrup,2 oz,cold brewed green tea,,edible flowers,,,,,shake with ice and strain into ice-filled old-fashioned glass. garnish with edible flowers.,old-fashioned glass,6 to 8 ounces
french quarter,brandy,2 oz,brandy,3/4 oz,lillet blanc,,lemon quarter-wheel,,,,,,,stir with ice and strain into chilled cocktail glass. garnish with lemon.,cocktail glass,6 or more ounces
creme de gin cocktail,cocktail classics,1 1/2 oz,gin,1/2 oz,white creme de menthe,1 oz,egg white,2 oz,lemon juice,2 oz,orange juice,,,shake with ice and strain into cocktail glass.,cocktail glass,6 or more ounces
creamy screwdriver,cocktail classics,2 oz,vodka,1 oz,egg yolk,6 oz,orange juice,1 oz,sugar,,,,,combine all ingredients with a half-cup of crushed ice in an electric blender. blend at low speed and pour into collins glass.,collins glass,14 to 16 ounces
creamy orange,cocktail classics,1 oz,orange juice,1 oz,cream sherry,3/4 oz,brandy,1 oz,light cream,,,,,shake with ice and strain into cocktail glass.,cocktail glass,6 or more ounces
creamsicle,cocktail classics,1 1/2 oz,vanilla liqueur,1 1/2 oz,milk,3 oz,orange juice,,,,,,,"fill a tall glass with ice, add the above ingredients, and stir.",collins glass,14 to 16 ounces
cowboy cocktail,cocktail classics,1 1/2 oz,blended whiskey,1 oz,light cream,,,,,,,,,shake with ice and strain into cocktail glass.,cocktail glass,6 or more ounces
beals cocktail,whiskies,1 1/2 oz,blended scotch whiskey,1/2 oz,dry vermouth,1/2 oz,sweet vermouth,,,,,,,stir with ice and strain into chilled cocktail glass.,cocktail glass,6 or more ounces
coronation cocktail,cocktail classics,3/4 oz,gin,3/4 oz,dubonnet,3/4 oz,dry vermouth,,,,,,,stir with ice and strain into cocktail glass.,cocktail glass,6 or more ounces
cornell cocktail,cocktail classics,1/2 oz,lemon juice,1 oz,maraschino,1 oz,egg white,1 1/2 oz,gin,,,,,shake with ice and strain into cocktail glass.,cocktail glass,6 or more ounces
combo,cocktail classics,2 1/2 oz,dry vermouth,1 oz,brandy,1/2 oz,triple sec,1/2 oz,powdered sugar,1 oz,bitters,,,shake with ice and strain into old-fashioned glass over ice cubes.,old-fashioned glass,6 to 8 ounces
basin street,whiskies,2 oz,bourbon whiskey,3/4 oz,triple sec,3/4 oz,fresh lemon juice,,,,,,,shake well with ice and strain into chilled cocktail glass.,cocktail glass,6 or more ounces
cole's raspberry cream,cocktail classics,1 1/2 oz,raspberry yogurt,1 1/2 oz,raspberry ice cream,1 1/2 oz,white creme de cacao,1 1/2 oz,vodka,2 oz,heavy cream,,,shake or blend.,champagne flute,6 to 8 ounces
cognac coupling,cocktail classics,2 oz,cognac,1 oz,tawny port,1/2 oz,anis,1 oz,lemon juice,,,,,shake with ice and strain into old-fashioned glass over ice cubes.,old-fashioned glass,6 to 8 ounces
coffee sour,cocktail classics,1 1/2 oz,coffee-flavored brandy,1 oz,lemon juice,1 oz,powdered sugar,1/2 oz,egg white,,,,,shake with ice and strain into sour glass.,sour glass,5 to 6 ounces
coffee flip,cocktail classics,1 oz,whole egg,1 oz,powdered sugar,1 oz,brandy,1 oz,port,2 oz,light cream (if desired),,,shake with ice and strain into sour glass. sprinkle a little nutmeg on top.,sour glass,5 to 6 ounces
coffee cocktail,cocktail classics,1 oz,whole egg,1 oz,powdered sugar,1 oz,port,1 oz,brandy,,,,,shake with ice and strain into sour glass. sprinkle nutmeg on top.,sour glass,5 to 6 ounces
purple mask,vodka,1 oz,vodka,1 oz,concord grape juice,1/2 oz,white creme de cacao,,,,,,,shake with ice and strain into chilled cocktail glass.,cocktail glass,6 or more ounces
clove cocktail,cocktail classics,1 oz,sweet vermouth,1/2 oz,sloe gin,1/2 oz,muscatel wine,,,,,,,stir with ice and strain into cocktail glass.,cocktail glass,6 or more ounces
clover leaf cocktail,cocktail classics,1 oz,juice of a lime,2 oz,grenadine,1 oz,egg white,1 1/2 oz,gin,,,,,shake with ice and strain into cocktail glass. serve with mint leaf on top.,cocktail glass,6 or more ounces
clover club cocktail,cocktail classics,1 oz,juice of a lemon,2 oz,grenadine,1 oz,egg white,1 1/2 oz,gin,,,,,shake with ice and strain into cocktail glass.,cocktail glass,6 or more ounces
priority cocktail,vodka,2 oz,vodka,1/2 oz,calvados,1/2 oz,coffee liqueur,,lemon twist,,,,,stir with ice and strain into chilled cocktail glass. add lemon twist.,cocktail glass,6 or more ounces
clamato cocktail,cocktail classics,1 1/2 oz,vodka,1 oz,clam juice,3 oz,tomato juice,,,,,,,"shake with ice, strain, and serve over ice cubes in old-fashioned glass.",old-fashioned glass,6 to 8 ounces
cider eggnog,cocktail classics,1 oz,whole egg,1 oz,powdered sugar,1/2 oz,milk,,,,,,,shake with ice and strain into collins glass. then fill the glass with cider and stir. sprinkle nutmeg on top.,collins glass,14 to 16 ounces
chocolate soldier,cocktail classics,1/2 oz,juice of a lime,3/4 oz,dubonnet,1 1/2 oz,gin,,,,,,,shake with ice and strain into cocktail glass.,cocktail glass,6 or more ounces
chocolate flip,cocktail classics,1 oz,whole egg,1 oz,powdered sugar,3/4 oz,sloe gin,3/4 oz,brandy,2 oz,light cream (if desired),,,shake with ice and strain into sour glass. sprinkle a little nutmeg on top.,sour glass,5 to 6 ounces
chocolate cocktail,cocktail classics,1 1/2 oz,port,1 1/2 oz,yellow chartreuse,1 oz,egg yolk,1 oz,powdered sugar,,,,,shake with ice and strain into sour glass.,sour glass,5 to 6 ounces
chicago fizz,cocktail classics,1/2 oz,juice of a lemon,1 oz,powdered sugar,1 oz,egg white,1 oz,port,1 oz,light rum,,,shake with ice and strain into highball glass over two ice cubes. fill with carbonated water and stir.,highball glass,7 to 10 ounces
pretty in pink,vodka,2 oz,vodka,1/2 oz,cranberry juice,3/4 oz,creme de noyaux,3/4 oz,fresh lemon juice,,,,,shake first four ingredients and strain into ice-filled collins glass. top with soda water.,collins glass,14 to 16 ounces
cherry wine cocktail,cocktail classics,3/4 oz,danish cherry wine,3/4 oz,vodka,1/2 oz,juice of a lime,,,,,,,shake with ice and strain into cocktail glass.,cocktail glass,6 or more ounces
cherry flip,cocktail classics,1 oz,whole egg,1 oz,powdered sugar,1 1/2 oz,cherry-flavored brandy,2 oz,light cream (if desired),,,,,shake with ice and strain into sour glass. sprinkle a little nutmeg on top.,sour glass,5 to 6 ounces
