name,category,measurement-1,ingredient-1,measurement-2,ingredient-2,measurement-3,ingredient-3,measurement-4,ingredient-4,measurement-5,ingredient-5,measurement-6,ingredient-6,instructions,glass,glass-size
highland cooler,whiskies,2 oz,blended scotch whiskey,1/2 oz,simple syrup,,soda water or ginger ale,,lemon and/or orange zest spiral(s),,,,,stir scotch and syrup in collins glass. add ice. fill with soda and stir again. insert citrus spiral(s) and dangle end(s) over rim of glass.,collins glass,14 to 16 ounces
alexander cocktail no. 1,cocktail classics,1 oz,gin,1 oz,creme de cacao (white),1 oz,light cream,,,,,,,shake with ice and strain into cocktail glass. sprinkle nutmeg on top.,cocktail glass,6 or more ounces
adam and eve,cocktail classics,1 oz,forbidden fruit,1 oz,gin,1 oz,brandy,1 oz,lemon juice,,,,,shake well with cracked ice and strain into cocktail glass.,cocktail glass,6 or more ounces
vodka sling,vodka,2 oz,vodka,1 oz,fresh lemon juice,1/2 oz,simple syrup,,orange twist,,,,,"pour vodka, lemon juice, and syrup into ice-filled old-fashioned glass and stir. add orange twist.",old-fashioned glass,6 to 8 ounces
jack rose cocktail,brandy,1 1/2 oz,applejack,1/2 oz,fresh lime juice,1/4 oz,grenadine,,,,,,,shake with ice and strain into chilled cocktail glass.,cocktail glass,6 or more ounces
tempter cocktail,cocktail classics,1 oz,port,1 oz,apricot flavored brandy,,,,,,,,,stir with ice and strain into cocktail glass.,cocktail glass,6 or more ounces
special rough cocktail,cocktail classics,1 1/2 oz,apple brandy,1 1/2 oz,brandy,1/2 oz,anisette,,,,,,,stir with ice and strain into cocktail glass.,cocktail glass,6 or more ounces
vodka grasshopper,vodka,3/4 oz,vodka,3/4 oz,green creme de menthe,3/4 oz,white creme de cacao,3/4 oz,half-and-half,,,,,shake with ice and strain into chilled cocktail glass.,cocktail glass,6 or more ounces
singapore sling,cocktail classics,1/2 oz,juice of a lemon,1 oz,powdered sugar,2 oz,gin,,club soda,1/2 oz,cherry-flavored brandy,,,"shake lemon, sugar, and gin with ice and strain into collins glass. add ice cubes and fill with club soda. float cherry-flavored brandy on top. decorate with fruits in season and serve with straws.",collins glass,14 to 16 ounces
saratoga cocktail,cocktail classics,2 oz,brandy,2 oz,bitters,1 oz,lemon juice,1 oz,pineapple juice,1/2 oz,maraschino,,,shake with ice and strain into cocktail glass.,cocktail glass,6 or more ounces
high cotton,whiskies,2 oz,straight rye whiskey,1/2 oz,pimm's no. 1 cup,1/2 oz,dubonnet rouge,2 oz,peach bitters,,,,,stir with ice and strain into chilled cocktail glass. garnish with lemon and mint.,cocktail glass,6 or more ounces
polonaise,cocktail classics,1 1/2 oz,brandy,1 oz,blackberry-flavored brandy,1/2 oz,dry sherry,1 oz,lemon juice,,,,,shake with ice and strain into old-fashioned glass over ice cubes.,old-fashioned glass,6 to 8 ounces
vodka gimlet,vodka,1 1/2 oz,vodka,1 oz,fresh lime juice,1/2 oz,simple syrup,,,,,,,shake with ice and strain into chilled cocktail glass.,cocktail glass,6 or more ounces
merry widow cocktail no. 2,cocktail classics,1 1/4 oz,maraschino,1 1/4 oz,cherry-flavored brandy,,,,,,,,,stir with ice and strain into cocktail glass. serve with a cherry.,cocktail glass,6 or more ounces
lugger,cocktail classics,1 oz,brandy,1 oz,apple brandy,1 oz,apricot flavored brandy,,,,,,,shake with ice and strain into cocktail glass.,cocktail glass,6 or more ounces
jamaica hop,cocktail classics,1 oz,coffee-flavored brandy,1 oz,creme de cacao (white),1 oz,light cream,,,,,,,shake well with ice and strain into cocktail glass.,cocktail glass,6 or more ounces
hebrides,whiskies,1 1/2 oz,single-malt scotch whisky,1/2 oz,maraschino liqueur,1/2 oz,triple sec,2 oz,apple juice,1/2 oz,fresh lemon juice,1 oz,angostura bitters,pour into ice-filled collins glass and stir.,collins glass,14 to 16 ounces
hennessy martini,cocktail classics,2 oz,hennessy v.s cognac,1/2 oz,lemon juice,,,,,,,,,"fill shaker or mixing glass with ice. add hennessy and lemon juice. stir gently, don't shake. let settle. strain into chilled martini glass. garnish with twist of lemon peel.",cocktail glass,6 or more ounces
vodka daisy,vodka,2 oz,vodka,1 oz,fresh lemon juice,1/2 oz,simple syrup,1 oz,grenadine,,,,,shake with ice. strain into ice-filled beer mug or metal cup. garnish with fruit.,beer mug,10 to 12 ounces
heavenly dram,whiskies,2 oz,single-malt scotch whisky,1/2 oz,pedro ximenez sherry,3/4 oz,fresh lemon juice,1/4 oz,honey syrup,,,,,shake with ice and strain into chilled cocktail glass. add lemon twist.,cocktail glass,6 or more ounces
classic cocktail,cocktail classics,1/4 oz,juice of a lemon,1 1/2 oz,curacao,1 1/2 oz,maraschino,1 oz,brandy,,,,,prepare rim of old-fashioned glass by rubbing with lemon and dipping into powdered sugar. shake ingredients with ice and strain into prepared glass.,old-fashioned glass,6 to 8 ounces
cherry sling,cocktail classics,2 oz,cherry-flavored brandy,1/2 oz,juice of a lemon,,,,,,,,,serve in old-fashioned glass filled with ice cubes and stir. add a twist of lemon peel.,old-fashioned glass,6 to 8 ounces
cherry fizz,cocktail classics,1/2 oz,juice of a lemon,2 oz,cherry-flavored brandy,,club soda,,,,,,,shake with ice and strain into highball glass with two ice cubes. fill with club soda and decorate with a cherry.,highball glass,7 to 10 ounces
vodka cooler,vodka,2 oz,vodka,1/2 oz,simple syrup,,soda water or ginger ale,,orange and/or lemon zest spiral,,,,,stir vodka and syrup in collins glass. add ice cubes and fill with soda water or ginger ale. insert a spiral of orange or lemon zest (or both) and dangle end(s) over rim of glass.,collins glass,14 to 16 ounces
carrol cocktail,cocktail classics,1 1/2 oz,brandy,3/4 oz,sweet vermouth,,,,,,,,,stir with ice and strain into cocktail glass. serve with a cherry.,cocktail glass,6 or more ounces
button hook cocktail,cocktail classics,1/2 oz,creme de menthe (white),1/2 oz,apricot flavored brandy,1/2 oz,anisette,1/2 oz,brandy,,,,,shake with ice and strain into cocktail glass.,cocktail glass,6 or more ounces
bull's eye,cocktail classics,1 oz,brandy,2 oz,hard cider,ginger ale,,,,,,,,pour into highball glass over ice cubes and fill with ginger ale. stir.,highball glass,7 to 10 ounces
brantini,cocktail classics,1 1/2 oz,brandy,1 oz,gin,1 oz,dry vermouth,,,,,,,stir with cracked ice and strain into old-fashioned glass with cubed ice. add a twist of lemon peel.,old-fashioned glass,6 to 8 ounces
heather's kiss,whiskies,2 1/4 oz,blended scotch whiskey,1/2 oz,fresh lemon juice,1/4 oz,agave nectar,1 oz,absinthe,,,,,shake with ice strain into chilled cocktail glass. garnish with apple slice.,cocktail glass,6 or more ounces
brandy squirt,cocktail classics,1 1/2 oz,brandy,1 oz,powdered sugar,1 oz,grenadine,,club soda,,,,,shake with ice and strain into highball glass and fill with club soda. decorate with stick of pineapple and strawberries.,highball glass,7 to 10 ounces
brandy and soda,cocktail classics,2 oz,brandy,,club soda,,,,,,,,,pour brandy into collins glass with ice cubes. fill with club soda.,collins glass,14 to 16 ounces
brandy milk punch,cocktail classics,1 oz,powdered sugar,2 oz,brandy,1 oz,milk,,,,,,,"shake with ice, strain into collins glass, and sprinkle nutmeg on top.",collins glass,14 to 16 ounces
vodka collins,vodka,2 oz,vodka,3/4 oz,fresh lemon juice,3/4 oz,simple syrup,,soda water,,,,,"shake vodka, lemon juice, and syrup and strain into ice-filled collins glass. fill with soda water and stir. garnish with citrus and cherry. serve with a straw.",collins glass,14 to 16 ounces
brandy crusta cocktail,cocktail classics,1 oz,maraschino,1 oz,bitters,1 oz,lemon juice,1/2 oz,triple sec,2 oz,brandy,,,moisten the edge of a cocktail glass with lemon and dip into sugar. cut the rind of half a lemon into a spiral and place in glass. stir above ingredients with ice and strain into sugar-rimmed glass. add a slice of orange.,cocktail glass,6 or more ounces
heather blush,whiskies,1 oz,blended scotch whiskey,1 oz,strawberry liqueur,3 oz,chilled sparkling wine,,whole strawberry,,,,,pour scotch and liqueur into chilled champagne flute. top with sparkling wine. garnish with strawberry.,champagne flute,6 to 8 ounces
jack maples,brandy,2 oz,applejack,1 oz,maple syrup (grade b or medium-amber),1 oz,aromatic bitters,,cinnamon stick,,,,,stir with ice and strain into cocktail glass. garnish with cinnamon stick.,cocktail glass,6 or more ounces
brandy alexander,cocktail classics,1/2 oz,creme de cacao (brown),1/2 oz,brandy,1/2 oz,heavy cream,,,,,,,shake well with cracked ice and strain into cocktail glass.,cocktail glass,6 or more ounces
vodka and tonic,vodka,2 oz,vodka,,tonic water,,lemon or lime wedge,,,,,,,pour vodka into highball glass over ice. add tonic and stir. garnish with lemon or lime wedge. vodka collins,highball glass,7 to 10 ounces
apricot cocktail,cocktail classics,1/4 oz,juice of a lemon,1/4 oz,juice of orange,1 1/2 oz,apricot flavored brandy,1 oz,gin,,,,,shake with ice and strain into cocktail glass.,cocktail glass,6 or more ounces
alexander cocktail no. 2,cocktail classics,1 oz,creme de cacao (white),1 oz,brandy,1 oz,light cream,,,,,,,shake with ice and strain into cocktail glass. sprinkle nutmeg on top.,cocktail glass,6 or more ounces
after dinner cocktail,cocktail classics,1 oz,apricot flavored brandy,1 oz,triple sec,1 oz,juice of a lime,,,,,,,shake with ice and strain into cocktail glass. leave lime in glass.,cocktail glass,6 or more ounces
harvest moon,whiskies,1 1/2 oz,straight rye whiskey,1 oz,lillet blanc,1/2 oz,apple brandy,1/4 oz,green chartreuse,2 oz,angostura bitters,,orange twist,stir with ice and strain into chilled cocktail glass. add orange twist.,cocktail glass,6 or more ounces
red raider,cocktail classics,1 oz,bourbon,1/2 oz,triple sec,1 oz,lemon juice,1 oz,grenadine,,,,,shake with ice and strain into cocktail glass.,cocktail glass,6 or more ounces
vodka and apple juice,vodka,2 oz,vodka,,apple juice,,,,,,,,,pour vodka into ice-filled highball glass. fill with apple juice and stir.,highball glass,7 to 10 ounces
mint julep (southern style),cocktail classics,5 or 6,springs mint,1 oz,powdered sugar,2 oz,water,2 1/2 oz,bourbon,,,,,"in silver mug or collins glass, dissolve powdered sugar with water. fill with finely shaved ice and add bourbon. stir until glass is heavily frosted, adding more ice if necessary. (do not hold glass with hand while stirring.) decorate with sprigs of fresh mint so that the tops are about two inches above the rim of glass. use short straws so that it will be necessary to bury nose in mint, which is intended for scent rather than taste.",collins glass,14 to 16 ounces
limestone,cocktail classics,1 1/2 oz,bourbon,,collins mix,,lime juice,,,,,,,"into ice-filled highball glass, pour bourbon, fill glass with collins mix, and add lime juice to taste.",highball glass,7 to 10 ounces
grounds for divorce,whiskies,1 1/2 oz,straight rye whiskey,3/4 oz,kirschwasser,1/4 oz,cynar,1/2 oz,amaro,,,,,stir and strain into chilled cocktail glass. add orange twist.,cocktail glass,6 or more ounces
gentleman's cocktail,cocktail classics,1 1/2 oz,bourbon,1/2 oz,brandy,1/2 oz,creme de menthe,,club soda,,,,,"pour bourbon, brandy, and creme de menthe over ice into highball glass. add club soda and garnish with a lemon twist.",highball glass,7 to 10 ounces
